,title,author,published_date,published_date_precision,link,clean_url,excerpt,summary,rights,rank,topic,country,language,authors,media,is_opinion,twitter_account,_score,_id,used_params
10,Opinion: San Jose pedestrian deaths show need for people-centered neighborhoods,Shiloh Ballard |,2022-02-17 13:15:48,full,https://www.mercurynews.com/2022/02/17/opinion-pedestrian-deaths-show-need-for-people-centered-neighborhoods,mercurynews.com,"We need to design communities with affordable housing, jobs, services and parks, all within walking and biking distance.","'We're not trying to victim blame. These are just facts.' This San Jose Police Department quote followed a comment highlighting that pedestrians killed in San Jose were outside of a crosswalk, ('San Jose shattered records for traffic deaths'.) Two days later, a follow-up article led with the headline '5 of 6 recent pedestrian deaths outside of crosswalks.' 
This is the wrong way to talk about traffic violence.
Whether a pedestrian was in or out of a crosswalk obscures the fact that the design of our auto-centric cities kills pedestrians, bicyclists and drivers — all of us.",mercurynews.com,822,news,US,en,['Shiloh Ballard'],https://www.mercurynews.com/wp-content/uploads/2016/08/20150416__TRAVTOPTEN-04261.jpg?w=645&h=374,True,@mercnews,16.639027,d8d9b3adc9d301323913d6810f0b6672,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
11,Opinion: Pedestrian deaths show need for people-centered neighborhoods,Shiloh Ballard |,2022-02-17 13:15:48,full,https://www.mercurynews.com/2022/02/17/opinion-pedestrian-deaths-show-need-for-people-centered-neighborhoods,mercurynews.com,"We need to design communities with affordable housing, jobs, services and parks, all within walking and biking distance.","'We're not trying to victim blame. These are just facts.' This San Jose Police Department quote followed a comment highlighting that pedestrians killed in San Jose were outside of a crosswalk, ('San Jose shattered records for traffic deaths'.) Two days later, a follow-up article led with the headline '5 of 6 recent pedestrian deaths outside of crosswalks.' 
This is the wrong way to talk about traffic violence.
Whether a pedestrian was in or out of a crosswalk obscures the fact that the design of our auto-centric cities kills pedestrians, bicyclists and drivers — all of us.",eastbaytimes.com,822,news,US,en,['Shiloh Ballard'],https://www.eastbaytimes.com/wp-content/uploads/2022/02/20150416__TRAVTOPTEN-04261.jpg?w=645&h=374,True,@eastbaytimes,16.639027,7ea344e4ca29321155f4427d4104a3d5,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
12,"New Analysis from Global Industry Analysts Reveals Steady Growth for Air Fresheners, with the Market to Reach $21 Billion Worldwide by 2026",Global Industry Analysts,2022-02-22 15:30:00,full,https://www.prnewswire.com/news-releases/new-analysis-from-global-industry-analysts-reveals-steady-growth-for-air-fresheners-with-the-market-to-reach-21-billion-worldwide-by-2026-301486236.html,prnewswire.com,"/PRNewswire/ -- A new market study published by Global Industry Analysts Inc., (GIA) the premier market research company, today released its report titled ""Air...","Global competitiveness and key competitor percentage market shares 
Market presence across multiple geographies - Strong/Active/Niche/Trivial 
Online interactive peer-to-peer collaborative bespoke updates 
Access to our digital archives and MarketGlass Research Platform 
Complimentary updates for one year

Edition: 17; Released: February 2022Executive Pool: 6878Companies: 151 - Players covered include Air Delights, Inc.; Balev Corporation Eood; Beaumont Products, Inc.; Car-Freshener Corporation; Church & Dwight Co.",prnewswire.com,216,news,US,en,['Global Industry Analysts'],https://mma.prnewswire.com/media/1750302/Global_Industry_Analysts_Inc_Air_Fresheners.jpg?p=facebook,False,@PRNewswire,15.916048,6539c4a885fabc7546e4af9e662cc997,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
13,What Hybrid Work Means For Urban Retail,"Brin Snelling, Contributor",2022-02-22 13:15:00,full,https://www.forbes.com/sites/brinsnelling/2022/02/22/what-hybrid-work-means-for-urban-retail,forbes.com,"The pandemic has changed the way people live and work long-term. Residents may prefer these changes to city life, but a city less dense of its daily inhabitants is a city less appealing to retail.","Pedestrians walk past a store on H St in Washington D.C.'s city center (Photo taken Feb. 16, 2022. ... [+] by Ting Shen/Xinhua via Getty Images). Xinhua News Agency via Getty Images The streets of cities aren't as desolate as they were a year or two ago, but many still carry an air of emptiness. Perhaps there's a lack of shoulder bumping on walks to work, a lunch break free of lines, or a subway ride that no longer mimics a game of sardines. Residents may prefer these changes to city life, but a city less dense of its daily inhabitants is a city less appealing to retail.",Copyright 2022 Forbes Media LLC,51,business,US,en,"['Brin Snelling, Contributor', 'Brin Snelling, Contributor']",https://imageio.forbes.com/specials-images/imageserve/62140eaeb2cc32e461a869a8/0x0.jpg?format=jpg&width=1200&fit=bounds,False,@BrinSnelling,15.587469,faa29b18de829ef4fa38d0f2be76a383,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
14,All the TV shows and movies streaming in March on HBO Max,Samuel Spencer,2022-02-23 15:44:48,full,https://www.newsweek.com/hbo-max-lineup-march-2022-tv-shows-movies-1681766,newsweek.com,"HBO Max is offering subscribers four of the movies nominated for Best Picture at this year's Oscars, plus ""Don't Look Up"" director Adam McKay's TV take on the LA Lakers' story.","HBO Max has long had the best movie library of any of the major streaming services, and March sees it continue that trend.This month, four of this year's Best Picture nominees at the Oscars join the service. Dune and King Richard return to the service after first arriving on the streamer last year, and are joined by nominee Drive My Car and West Side Story—the latter a surprise, given many had assumed the 20th Century Studios production would only air on Disney+ or Hulu. Blockbuster fans can also watch the latest in the Fast & Furious franchise on the service in March 2022.",newsweek.com,392,entertainment,US,en,['Samuel Spencer'],https://d.newsweek.com/en/full/1917430/timothee-chalamet-rebecca-ferguson.jpg,False,@newsweek,15.191447,43733db74939047b09d8ed986b7756ef,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
15,"New Analysis from Global Industry Analysts Reveals Steady Growth for Air Fresheners, with the Market to Reach $21 Billion Worldwide by 2026",,2022-02-22 16:15:00,timezone unknown,https://finance.yahoo.com/news/analysis-global-industry-analysts-reveals-153000513.html,yahoo.com,Several multinational giant corporations could see their sales and profits hit amid escalating tensions between Russia and Ukraine.,"SAN FRANCISCO, Feb. 22, 2022 /PRNewswire/ -- A new market study published by Global Industry Analysts Inc., (GIA) the premier market research company, today released its report titled ""Air Fresheners - Global Market Trajectory & Analytics"". The report presents fresh perspectives on opportunities and challenges in a significantly transformed post COVID-19 marketplace.

Air Fresheners - FEB 2022 Report

FACTS AT A GLANCE

What's New for 2022?

Global competitiveness and key competitor percentage market shares

Market presence across multiple geographies - Strong/Active/Niche/Trivial

Online interactive peer-to-peer collaborative bespoke updates

Access to our digital archives and MarketGlass Research Platform

Complimentary updates for one year

Edition: 17; Released: February 2022

Executive Pool: 6878

Companies: 151 - Players covered include Air Delights, Inc.",yahoo.com,30,news,US,en,[],https://s.yimg.com/uu/api/res/1.2/a.DJsqylrXojkYSVfcrqzw--~B/aD0yNTA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/473ff58e523957fbd0d6a7590b9d7b1a,False,,15.106533,a7b3001cef1573eca0e9948292c04401,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
16,"London, Manchester and Birmingham ranked three most expensive cities in Europe for public transport",,2022-02-24 16:09:04,full,https://www.independent.co.uk/news/uk/politics/uk-public-transport-most-expensive-b2022534.html,independent.co.uk,Study of 36 major cities across continent found England's biggest at the bottom in terms of affordability,"Englands three largest cities are also the three most expensive in Europe for public transport, a new study has found. 
 

 © Getty Images London's system was the most expensive for a monthly pass as a proportion of household budget - Getty


London, Manchester and Birmingham occupied the three bottom spots in a ranking of 36 metropoles by affordability. Researchers looked at each city and compared the price of a monthly travel pass to the average household budget.London ranked bottom with its £167.",msn.com,160,news,GB,en,[],https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AAUgb0z.img?h=315&w=600&m=6&q=60&o=t&l=f&f=jpg,False,,14.892209,9c51f133fad8cbd9cf1ff7214615beac,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
17,"Opinion: Turn down the racket, we're trying to live here",Elizabeth Renzetti,2022-02-24 14:00:00,full,https://www.theglobeandmail.com/opinion/article-turn-down-the-racket-were-trying-to-live-here,theglobeandmail.com,"The airhorns in Ottawa were an anomaly, but they were useful in demonstrating one problem that plagues cities but doesn't get much attention: noise pollution","illustration by Hanna BarczykThe horns are silenced in Ottawa, at least for the time being. The vehicles that blocked downtown streets, and the drivers who leaned on their horns day and night, are gone. The residents who complained, and held up signs saying 'I want sleep,' and joined a class-action suit that successfully won an injunction to stop the noise, can rest easy.Or can they? Now it's back to the regular old urban din: leaf blowers and jackhammers, drag-racing cars and motorcycles that seem to have roared off the set of a Mad Max movie.",theglobeandmail.com,566,news,CA,en,['Elizabeth Renzetti'],https://www.theglobeandmail.com/resizer/dZ4UJHzmlUVEVQRfzdYdZ9Yxz-Q=/1200x1050/filters:quality(80)/cloudfront-us-east-1.images.arcpublishing.com/tgam/MM22WRDID5ARXAGG7DTAXIKJVE.jpg,True,@globeandmail,14.83413,f65fbbb254b9c670db8bdee1c55dc99d,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
18,Andy Burnham says Clean Air Zone critics made false claims about wife's interests,Helen Pidd,2022-02-18 18:34:07,full,https://www.theguardian.com/environment/2022/feb/18/andy-burnham-says-clean-air-zone-critics-made-false-claims-about-wifes-interests,theguardian.com,Greater Manchester mayor says claims that Marie-France van Heel has links to electric car charging network are ‘frankly disgraceful',"Andy Burnham has hit out at critics of Greater Manchester's Clean Air Zone (CAZ) who he says have made 'frankly disgraceful' false claims about his wife's professional links to an electric car charging network.The Greater Manchester mayor accuses opponents of the CAZ of spreading false information about Marie-France van Heel, a marketing executive who married Burnham in 2000.Van Heel is the strategy director and managing partner of a small marketing and brand agency, Heavenly. One of her clients is Be.",theguardian.com,56,sport,GB,en,['Helen Pidd'],https://i.guim.co.uk/img/media/846a9286bb88ac424fd000e5e5bb540dfb5a5826/0_530_2524_1514/master/2524.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=97560506e4d0bb5e2775b9a3504dfe9f,False,@guardian,14.631941,8054f504b62c3c7dda144626b03785e2,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
19,A Step-by-Step Guide to Keeping Your Plants Safe During a Move,Leslie Cook,2022-02-23 10:53:00,timezone unknown,https://www.nasdaq.com/articles/a-step-by-step-guide-to-keeping-your-plants-safe-during-a-move,nasdaq.com,"Last year, more people searched Google for tips on how to move with their plants than they did for how to move with kids or pets.","The day is fast approaching. You're getting ready to move houses and you have to start packing. Furniture? Check. Clothes? Check. Plants? Wait, what?

Last year, more people searched Google for tips on how to move with their plants than they did for how to move with kids or pets. In a study published in the journal of Urban Forestry and Urban Greening, 74% of respondents agreed that having indoor vegetation had a positive impact on their mood during the COVID-19 lockdowns, with a similar number saying that indoor plants contributed to feelings of optimism and cheerfulness.",nasdaq.com,870,news,US,en,['Leslie Cook'],https://www.nasdaq.com/sites/acquia.prod/files/Mortgage-Tips-Moving-With-Housplants.jpg%3Fquality%3D85?1202253425,False,@Nasdaq,13.646549,0ca96b7d60f09f366a428e0f583fa5c3,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
20,What's changed since Trayvon Martin's killing 10 years ago? Join USA TODAY Network panel to discuss,,2022-02-22 23:01:07,full,https://www.usatoday.com/story/news/nation/2022/02/22/trayvon-martin-death-usa-today-network-panel-changes-2012-killing/6898045001,usatoday.com,"A USA TODAY Network panel discussion on Tuesday, Feb. 22 at 7 p.m. ET explores what's changed – and what hasn't – since Martin's 2012 killing.","It's been nearly 10 years since the shooting death of Trayvon Martin sparked a national discussion about racism and helped fuel the Black Lives Matter movement in the United States.What's changed in the last decade? What hasn't?Martin was shot Feb. 26, 2012, by George Zimmerman, a neighborhood watch volunteer who claimed he felt threatened by the Black teenager. Zimmerman followed the 17-year-old in his car and then on foot. Zimmerman was found not guilty of second-degree murder and manslaughter at trial a year later.",usatoday.com,126,news,US,en,[],https://www.gannett-cdn.com/-mm-/16bab0d56833cd6814066dd61e8a622d05cf435e/c=0-74-1600-973/local/-/media/Louisville/2014/07/11/trayvonmartin.jpg?auto=webp&format=pjpg&width=1200,False,@usatoday,13.293629,a60bc11a79ca316569dd265a7214db9f,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
21,Power to move: Accelerating the electric transport transition in sub-Saharan Africa,Julian Conzade Hauke Engel Adam Kendall Gillian Pais,2022-02-22 22:59:06,full,https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/power-to-move-accelerating-the-electric-transport-transition-in-sub-saharan-africa,mckinsey.com,Power to move: Accelerating the electric transport transition in sub-Saharan Africa  McKinsey,"Globally, the automotive future is looking increasingly electric, due to growing regulatory moves, including forthcoming bans on sales of internal combustion engine (ICE) vehicles, shifting consumer behavior, and ongoing improvements in battery and charging technology. By 2035, the world's major automotive markets—the United States, European Union, and China—are expected to sell only electric vehicles (EVs), and by 2050, 80 percent of the world's vehicle sales are expected to be electric. EVs are a critical component of achieving climate neutrality (in Europe, for example, the life-cycle emissions of an EV are around 65 to 85 percent lower than that of an ICE vehicle) and improving quality of life in cities by reducing air and noise pollution.",mckinsey.com,425,news,US,en,"['Julian Conzade Hauke Engel Adam Kendall Gillian Pais', 'Julian Conzade']",https://www.mckinsey.com/~/media/mckinsey/industries/automotive%20and%20assembly/our%20insights/power%20to%20move%20accelerating%20the%20electric%20transport%20transition%20in%20sub%20saharan%20africa/power-to-move-537706696-thumb-1536x1536.jpg,False,@mckinsey,13.217477,c99f2e1f1efc31389067c3f20acc517e,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
22,"At Last, a Self-Driving Car That Can Explain Itself",Chiori Hori,2022-02-23 17:00:01,full,https://spectrum.ieee.org/at-last-a-self-driving-car-that-can-explain-itself,ieee.org,"Mitsubishi's AI not only improves performance, it also fosters trust","For all the recent improvements in artificial intelligence, the technology still cannot take the place of human beings in situations where it must frame its perceptions of the world in words that people can understand.You might have thought that the many apparent advances in speech recognition would have solved the problem already. After all, Apple's Siri, Microsoft's Cortana, Amazon's Alexa and Google Home are all very impressive, but these systems function solely on voice input: They can't understand or react to the environment around them.",ieee.org,370,news,US,en,"['Chiori Hori', 'Anthony Vetro', 'Joanna Goodrich', 'Eliza Strickland']",https://spectrum.ieee.org/media-library/three-cars-side-by-side-on-three-lanes-of-a-city-street-are-shown-moving-away-from-the-viewer-past-trees-other-landmarks-and-a-white-striped-crosswalk.png?id=29380713&width=1200&coordinates=107%2C0%2C108%2C0&height=600,False,,13.104007,e36913542b87d80f227a2e060cd5ecc9,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
23,Satellite Recon Goes Mass Market,Glenn Zorpette,2022-02-23 16:00:05,full,https://spectrum.ieee.org/cold-war-satellites,ieee.org,Cold-war capabilities are now available to everybody,"To bridge this communications gap, our team at Mitsubishi Electric Research Laboratories has developed and built an AI system that does just that. We call the system scene-aware interaction, and we plan to include it in cars.As we drive down a street in downtown Los Angeles, our system's synthesized voice provides navigation instructions. But it doesn't give the sometimes hard-to-follow directions you'd get from an ordinary navigation system. Our system understands its surroundings and provides intuitive driving instructions, the way a passenger sitting in the seat beside you might do.",ieee.org,370,news,US,en,['Glenn Zorpette'],https://spectrum.ieee.org/media-library/a-photo-of-4-people-watching-a-rocket-launch-into-the-sky.jpg?id=29404968&width=1200&coordinates=0%2C153%2C0%2C154&height=600,False,@,13.015991,ef8144f4fe971c403defbfd022c43319,"{'q': 'urban air mobility OR flying car', 'lang': 'en', 'to_rank': 1000, 'topic': '', 'page_size': 100, 'page': 1}"
